ProductID,StockQuantity,SnapshotDate
1,189,2024-10-17
2,63,2024-10-17
3,80,2024-10-17
4,129,2024-10-17
5,166,2024-10-17
6,156,2024-10-17
7,140,2024-10-17
8,88,2024-10-17
9,136,2024-10-17
10,185,2024-10-17
11,175,2024-10-17
12,60,2024-10-17
13,130,2024-10-17
14,117,2024-10-17
15,83,2024-10-17
16,75,2024-10-17
17,143,2024-10-17
18,90,2024-10-17
19,134,2024-10-17
20,58,2024-10-17
21,88,2024-10-17
22,174,2024-10-17
23,213,2024-10-17
24,173,2024-10-17
25,130,2024-10-17
26,110,2024-10-17
27,130,2024-10-17
28,113,2024-10-17
29,130,2024-10-17
30,122,2024-10-17
31,93,2024-10-17
32,142,2024-10-17
33,109,2024-10-17
34,128,2024-10-17
35,110,2024-10-17
36,140,2024-10-17
37,160,2024-10-17
38,114,2024-10-17
39,61,2024-10-17
40,168,2024-10-17
41,127,2024-10-17
42,138,2024-10-17
43,142,2024-10-17
44,58,2024-10-17
45,100,2024-10-17
46,152,2024-10-17
47,131,2024-10-17
48,143,2024-10-17
49,222,2024-10-17
50,99,2024-10-17
51,75,2024-10-17
52,192,2024-10-17
53,51,2024-10-17
54,106,2024-10-17
55,141,2024-10-17
56,117,2024-10-17
57,177,2024-10-17
58,149,2024-10-17
59,52,2024-10-17
60,140,2024-10-17
61,95,2024-10-17
62,132,2024-10-17
63,97,2024-10-17
64,140,2024-10-17
65,130,2024-10-17
66,177,2024-10-17
67,181,2024-10-17
68,99,2024-10-17
69,100,2024-10-17
70,100,2024-10-17
71,69,2024-10-17
72,100,2024-10-17
73,121,2024-10-17
74,172,2024-10-17
75,66,2024-10-17
76,80,2024-10-17
77,163,2024-10-17
78,175,2024-10-17
79,141,2024-10-17
80,54,2024-10-17
81,127,2024-10-17
82,60,2024-10-17
83,69,2024-10-17
84,129,2024-10-17
85,56,2024-10-17
86,62,2024-10-17
87,170,2024-10-17
88,111,2024-10-17
89,64,2024-10-17
90,152,2024-10-17
91,141,2024-10-17
92,153,2024-10-17
93,77,2024-10-17
94,120,2024-10-17
95,127,2024-10-17
96,54,2024-10-17
97,84,2024-10-17
98,100,2024-10-17
99,197,2024-10-17
100,90,2024-10-17
101,133,2024-10-17
102,158,2024-10-17
103,121,2024-10-17
104,172,2024-10-17
105,150,2024-10-17
106,154,2024-10-17
107,82,2024-10-17
108,113,2024-10-17
109,60,2024-10-17
110,213,2024-10-17
111,168,2024-10-17
112,186,2024-10-17
113,55,2024-10-17
114,166,2024-10-17
115,81,2024-10-17
116,184,2024-10-17
117,72,2024-10-17
118,173,2024-10-17
119,64,2024-10-17
