ProductID,TransactionType,Quantity,TransactionDate
147,Sale,-4,2023-10-13
65,Sale,-2,2023-10-13
139,Sale,-3,2023-10-13
480,Sale,-5,2023-10-13
479,Sale,-4,2023-10-13
235,Sale,-3,2023-10-13
310,Sale,-2,2023-10-13
215,Sale,-4,2023-10-13
211,Sale,-4,2023-10-13
43,Sale,-1,2023-10-13
50,Sale,-5,2023-10-13
467,Sale,-5,2023-10-13
147,Sale,-1,2023-10-13
261,Sale,-5,2023-10-13
447,Sale,-3,2023-10-13
124,Sale,-2,2023-10-13
409,Sale,-3,2023-10-13
276,Sale,-1,2023-10-13
156,Sale,-1,2023-10-13
59,Sale,-4,2023-10-13
71,Sale,-4,2023-10-13
24,Sale,-3,2023-10-13
313,Sale,-2,2023-10-13
163,Sale,-4,2023-10-13
159,Sale,-5,2023-10-13
212,Sale,-4,2023-10-13
344,Sale,-4,2023-10-13
433,Sale,-2,2023-10-13
348,Sale,-5,2023-10-13
419,Sale,-5,2023-10-13
230,Sale,-5,2023-10-13
223,Sale,-1,2023-10-13
412,Sale,-4,2023-10-13
426,Sale,-5,2023-10-13
305,Sale,-5,2023-10-13
211,Sale,-2,2023-10-13
156,Sale,-3,2023-10-13
254,Sale,-2,2023-10-13
108,Sale,-1,2023-10-13
63,Sale,-2,2023-10-13
330,Sale,-5,2023-10-13
431,Sale,-4,2023-10-13
473,Sale,-5,2023-10-13
434,Sale,-1,2023-10-13
81,Sale,-4,2023-10-13
379,Sale,-4,2023-10-13
206,Sale,-1,2023-10-13
20,Sale,-2,2023-10-13
369,Sale,-5,2023-10-13
109,Sale,-5,2023-10-14
269,Sale,-1,2023-10-14
190,Sale,-4,2023-10-14
106,Sale,-3,2023-10-14
145,Sale,-4,2023-10-14
495,Sale,-4,2023-10-14
23,Sale,-5,2023-10-14
390,Sale,-4,2023-10-14
229,Sale,-3,2023-10-14
80,Sale,-5,2023-10-14
301,Sale,-2,2023-10-14
158,Sale,-1,2023-10-14
373,Sale,-1,2023-10-14
155,Sale,-4,2023-10-14
56,Sale,-3,2023-10-14
173,Sale,-5,2023-10-14
134,Sale,-4,2023-10-14
147,Sale,-1,2023-10-14
92,Sale,-5,2023-10-14
498,Sale,-5,2023-10-14
294,Sale,-5,2023-10-14
127,Sale,-5,2023-10-14
387,Sale,-4,2023-10-14
214,Sale,-5,2023-10-14
185,Sale,-5,2023-10-14
415,Sale,-2,2023-10-14
245,Sale,-1,2023-10-14
136,Sale,-2,2023-10-14
96,Sale,-4,2023-10-14
412,Sale,-3,2023-10-14
93,Sale,-4,2023-10-14
489,Sale,-2,2023-10-14
446,Sale,-4,2023-10-14
459,Sale,-2,2023-10-14
82,Sale,-1,2023-10-14
77,Sale,-1,2023-10-14
365,Sale,-2,2023-10-14
37,Sale,-2,2023-10-14
53,Sale,-4,2023-10-14
234,Sale,-4,2023-10-14
21,Sale,-1,2023-10-15
373,Sale,-5,2023-10-15
287,Sale,-5,2023-10-15
175,Sale,-3,2023-10-15
411,Sale,-2,2023-10-15
188,Sale,-1,2023-10-15
118,Sale,-1,2023-10-15
122,Sale,-2,2023-10-15
323,Sale,-2,2023-10-15
50,Sale,-5,2023-10-15
333,Sale,-4,2023-10-15
386,Sale,-1,2023-10-15
294,Sale,-1,2023-10-15
455,Sale,-2,2023-10-15
365,Sale,-3,2023-10-16
389,Sale,-4,2023-10-16
484,Sale,-3,2023-10-16
495,Sale,-5,2023-10-16
271,Sale,-1,2023-10-16
226,Sale,-3,2023-10-16
225,Sale,-1,2023-10-16
369,Sale,-4,2023-10-16
437,Sale,-3,2023-10-16
140,Sale,-3,2023-10-16
8,Sale,-5,2023-10-16
169,Sale,-5,2023-10-16
394,Sale,-1,2023-10-16
287,Sale,-2,2023-10-16
171,Sale,-5,2023-10-16
143,Sale,-4,2023-10-16
199,Sale,-3,2023-10-16
48,Sale,-4,2023-10-16
274,Sale,-4,2023-10-16
198,Sale,-1,2023-10-16
255,Sale,-5,2023-10-16
280,Sale,-2,2023-10-16
467,Sale,-1,2023-10-16
381,Sale,-1,2023-10-16
200,Sale,-3,2023-10-16
57,Sale,-2,2023-10-16
212,Sale,-1,2023-10-16
219,Sale,-3,2023-10-16
428,Sale,-2,2023-10-16
361,Sale,-4,2023-10-16
407,Sale,-3,2023-10-16
31,Sale,-5,2023-10-16
10,Sale,-4,2023-10-16
240,Sale,-3,2023-10-16
476,Sale,-4,2023-10-16
23,Sale,-1,2023-10-16
47,Sale,-4,2023-10-16
165,Sale,-4,2023-10-16
46,Sale,-3,2023-10-16
289,Sale,-1,2023-10-16
157,Sale,-3,2023-10-16
313,Sale,-4,2023-10-16
369,Sale,-3,2023-10-16
186,Sale,-1,2023-10-16
479,Sale,-5,2023-10-16
345,Sale,-1,2023-10-16
289,Sale,-2,2023-10-16
29,Sale,-4,2023-10-16
300,Sale,-4,2023-10-16
88,Sale,-3,2023-10-16
18,Sale,-1,2023-10-16
363,Sale,-2,2023-10-16
58,Sale,-5,2023-10-16
126,Sale,-5,2023-10-16
188,Sale,-4,2023-10-16
99,Sale,-1,2023-10-16
197,Sale,-3,2023-10-16
200,Sale,-5,2023-10-16
434,Sale,-3,2023-10-16
84,Sale,-5,2023-10-16
471,Sale,-1,2023-10-16
345,Sale,-4,2023-10-17
162,Sale,-3,2023-10-17
247,Sale,-4,2023-10-17
231,Sale,-1,2023-10-17
243,Sale,-4,2023-10-17
440,Sale,-1,2023-10-17
96,Sale,-1,2023-10-17
233,Sale,-1,2023-10-17
110,Sale,-5,2023-10-17
215,Sale,-3,2023-10-17
112,Sale,-4,2023-10-17
487,Sale,-2,2023-10-17
313,Sale,-1,2023-10-17
282,Sale,-2,2023-10-17
83,Sale,-4,2023-10-17
50,Sale,-3,2023-10-17
9,Sale,-3,2023-10-17
55,Sale,-3,2023-10-17
290,Sale,-2,2023-10-17
115,Sale,-2,2023-10-17
382,Sale,-4,2023-10-17
285,Sale,-3,2023-10-17
47,Sale,-3,2023-10-17
218,Sale,-2,2023-10-17
407,Sale,-3,2023-10-17
144,Sale,-3,2023-10-17
240,Sale,-2,2023-10-17
173,Sale,-3,2023-10-17
