OrderID,ProductID,Quantity,Price
1,402,2,845.1
2,376,5,107.22
2,247,3,640.32
3,74,2,177.79
3,134,2,694.92
3,151,3,816.05
4,402,1,845.1
4,19,2,55.04
5,492,5,62.24
5,273,4,38.02
5,254,5,37.83
5,117,3,421.37
6,250,3,40.53
6,453,1,84.16
6,58,1,649.14
6,52,3,220.04
6,65,4,381.93
7,366,2,117.71
7,131,3,60.71
7,326,2,54.03
7,346,3,30.44
8,359,5,110.0
8,84,3,126.76
9,389,3,440.03
9,263,2,467.03
9,263,1,467.03
10,390,1,828.53
10,443,5,134.17
11,231,4,77.26
11,359,3,110.0
12,185,2,814.72
13,154,4,527.29
13,189,1,162.63
13,290,4,29.64
13,130,1,103.7
14,449,2,50.92
14,340,3,259.21
14,16,5,216.61
14,176,3,129.23
14,24,2,96.94
15,405,5,119.36
15,22,4,88.94
15,193,3,66.36
15,465,2,144.82
16,15,2,835.33
16,17,2,241.96
16,200,1,119.86
16,24,3,96.94
17,452,2,199.49
17,269,5,395.82
17,463,5,43.81
18,1,1,233.19
18,170,2,130.19
19,432,1,328.03
20,82,1,284.77
20,390,2,828.53
20,469,1,35.92
20,489,4,42.98
20,468,1,54.91
21,191,1,57.35
21,301,4,13.33
21,437,4,472.81
22,376,4,107.22
22,345,1,11.17
22,467,3,135.03
22,235,2,42.7
23,104,3,32.22
23,80,3,828.57
23,104,5,32.22
24,279,4,40.55
24,154,3,527.29
24,181,4,53.1
25,256,5,19.49
25,39,2,27.65
25,350,5,102.43
25,171,5,81.4
26,417,4,492.2
27,290,5,29.64
28,278,1,300.9
28,2,1,139.9
28,416,1,15.81
28,341,2,61.2
28,383,1,39.88
29,91,2,20.4
29,277,1,48.47
30,66,2,480.83
30,421,3,235.57
31,427,3,88.01
31,260,5,294.74
32,483,5,21.86
33,44,1,871.61
33,134,5,694.92
34,481,3,30.46
34,410,5,173.02
34,376,1,107.22
34,12,2,10.46
35,446,3,94.61
35,155,2,108.4
35,251,2,39.4
36,197,2,144.3
36,247,4,640.32
36,277,1,48.47
36,211,2,185.3
36,335,1,141.29
37,393,1,184.0
37,171,5,81.4
37,327,4,24.26
37,167,1,242.82
