OrderID,CustomerID,OrderDate,TotalAmount
1,2154,2023-11-17,622.39
2,1177,2023-11-17,625.12
3,1914,2023-11-17,552.62
4,1004,2024-08-21,752.64
5,2309,2024-08-21,184.16
6,300,2023-12-29,199.66
7,436,2023-11-12,532.15
8,2211,2023-11-12,888.68
9,693,2024-04-24,846.54
10,1762,2024-06-25,201.18
11,1834,2024-06-25,92.99
12,648,2024-06-02,663.25
13,397,2024-06-02,425.12
14,2044,2024-06-02,830.94
15,1922,2024-09-01,565.51
16,66,2024-09-01,211.54
17,333,2024-07-20,854.26
18,149,2024-07-20,443.41
19,945,2024-07-20,343.35
20,328,2023-11-25,975.35
21,1931,2023-11-25,384.58
22,639,2023-11-25,587.37
23,2468,2024-03-11,735.06
24,1313,2024-03-11,597.47
25,168,2024-03-11,199.31
26,2389,2024-09-15,790.36
27,819,2024-09-15,31.0
28,765,2024-08-04,968.37
29,2102,2024-08-04,407.35
30,525,2023-11-27,278.49
31,1799,2023-11-27,733.63
32,1407,2023-12-09,820.63
33,1051,2023-12-09,819.53
34,1360,2023-11-14,458.19
35,1655,2023-11-14,621.61
36,1646,2023-11-14,583.72
37,162,2024-06-08,825.75
38,2313,2024-06-08,164.79
39,1750,2024-06-08,837.95
40,981,2024-04-05,724.48
41,976,2024-04-05,962.37
42,2135,2024-04-05,510.1
43,570,2023-12-10,834.59
44,688,2023-12-10,642.92
45,899,2023-12-10,343.48
46,204,2024-07-11,188.02
47,2190,2024-07-11,809.76
48,757,2023-10-19,547.85
49,433,2023-11-17,192.71
50,1583,2023-11-17,784.64
51,1730,2023-11-17,393.2
52,804,2024-03-24,447.93
53,1742,2024-03-24,127.19
54,385,2024-03-24,217.69
55,1332,2024-03-24,705.64
56,1427,2023-12-02,187.9
57,2304,2023-12-02,53.12
58,1944,2023-12-02,367.95
59,2243,2024-03-12,707.34
60,1684,2024-08-19,523.21
61,193,2024-03-31,618.41
62,173,2024-03-31,283.64
63,718,2023-12-04,583.25
64,2467,2023-12-14,667.8
65,1988,2023-12-14,569.86
66,1259,2023-12-14,717.32
67,1582,2024-04-29,946.93
68,595,2024-02-15,641.15
69,1821,2024-02-15,579.2
70,2386,2024-05-16,605.63
71,2309,2024-05-16,977.91
72,2239,2024-08-20,935.23
73,1486,2024-08-20,584.77
74,1890,2024-05-30,48.17
75,1209,2024-05-30,537.82
76,852,2024-05-30,673.44
77,1711,2024-05-19,78.33
78,1404,2024-02-08,274.08
79,1239,2024-02-08,309.42
80,1258,2024-02-08,334.22
81,1264,2024-03-30,967.18
82,2292,2023-10-16,832.04
83,765,2023-10-16,614.24
84,1636,2023-10-16,92.68
85,822,2023-12-26,647.23
86,802,2024-05-17,172.33
87,161,2024-05-17,670.71
88,290,2024-05-17,304.02
89,1898,2024-02-10,294.6
90,279,2024-02-10,315.49
91,2065,2024-02-10,490.49
92,1386,2024-09-03,252.0
93,475,2024-09-03,671.18
94,1404,2024-08-15,673.39
95,2106,2023-11-14,399.83
96,1610,2023-11-14,524.64
97,875,2023-11-14,285.81
98,34,2024-09-10,153.55
99,2473,2023-12-14,588.7
100,449,2023-12-14,572.72
101,1613,2023-12-14,530.58
102,2249,2024-04-24,150.56
103,1409,2024-02-11,211.97
104,338,2024-02-11,874.32
105,1230,2024-02-11,207.58
106,1063,2024-09-15,438.66
107,2238,2024-09-15,723.49
108,1550,2023-11-11,558.19
109,1915,2023-11-11,924.4
110,907,2024-03-14,945.97
111,623,2024-04-26,818.86
112,243,2024-04-26,465.68
113,662,2024-04-26,752.42
114,1637,2024-09-11,765.11
115,3,2024-07-23,976.21
116,924,2024-05-21,748.05
117,2212,2024-05-21,526.53
118,1797,2024-06-08,42.1
119,475,2024-06-08,299.56
120,481,2023-12-09,783.3
121,450,2023-12-09,954.47
122,472,2024-05-16,466.46
123,282,2024-05-14,244.04
124,2312,2024-05-14,969.0
125,1566,2024-05-14,655.69
126,610,2024-07-18,571.86
127,1341,2024-07-18,32.01
128,895,2024-06-26,713.49
129,1874,2024-06-26,610.48
130,512,2024-06-26,895.46
131,974,2023-12-04,927.58
132,972,2024-09-03,477.68
133,1600,2024-01-26,258.27
134,424,2024-01-26,271.82
135,363,2024-01-26,598.49
136,1606,2024-08-23,257.61
137,1141,2024-05-23,979.72
138,988,2024-05-23,189.97
139,336,2024-05-23,245.72
140,2062,2024-08-22,150.6
141,841,2024-08-22,704.36
142,1267,2024-08-22,75.29
143,1983,2024-06-28,903.23
144,393,2024-06-28,729.91
145,800,2024-05-07,791.07
146,215,2023-11-21,366.64
147,337,2024-08-13,591.08
148,1685,2023-12-01,194.68
149,1808,2023-12-01,122.16
150,2209,2023-12-01,801.47
151,1541,2024-06-26,395.45
152,633,2024-06-26,638.2
153,2438,2024-08-23,274.89
154,512,2024-08-23,250.74
155,888,2024-08-23,176.41
156,2483,2024-08-18,744.42
157,2094,2024-08-18,93.13
158,1064,2023-10-31,60.82
159,829,2023-10-31,113.43
160,1847,2024-07-25,749.44
161,1377,2024-02-01,216.4
162,910,2024-02-01,810.01
163,1500,2024-02-01,325.58
164,2455,2024-01-19,757.3
165,104,2024-09-26,860.82
166,463,2024-09-26,733.45
167,981,2024-01-28,692.37
168,1724,2024-01-28,811.59
169,2414,2024-06-21,89.76
170,1601,2024-07-14,343.34
171,899,2023-11-28,649.16
172,542,2023-11-28,624.75
173,1642,2023-11-28,467.84
174,91,2024-05-26,416.95
175,2140,2023-11-06,118.6
176,1737,2023-11-06,108.47
